Reference bit,dirty bit,age,access count,Row ID,Timestamp,PID,Process Name,Page/Frame ID,Offset/size,Operation Type(R/W),CPU/Core ID,Status/flag,Hash/UUID of page
0,0,0,1,9446,9E+13,0,swapper,283473232,8,R,6,0,c3ffc1042e83fdd71070f91ba13097b3
0,0,0,1,9447,9E+13,0,swapper,283473240,8,R,6,0,1781c8d629bfacefca98f117059cb5e8
0,0,0,1,9448,9E+13,0,swapper,283473248,8,R,6,0,7230a5dbb2ad94d2bfa0670bf9934332
0,0,0,1,9449,9E+13,0,swapper,283473256,8,R,6,0,97b36cd3bfdc98a99fe39b16bea86d76
0,0,0,1,9450,9E+13,0,swapper,283473264,8,R,6,0,d3202cbf4fa97fdd017eeda56dd03f16
0,0,0,1,9451,9E+13,0,swapper,283473272,8,R,6,0,8419d4d745b36b4db5d1be35cabdaac6
0,0,0,1,9452,9E+13,0,swapper,283473280,8,R,6,0,47e7937f48c7b2e58065e61372aaab1a
0,0,0,1,9453,9E+13,0,swapper,283473288,8,R,6,0,f4573ec1e2bdcb5024a07aa6a09a1015
0,0,0,1,9454,9E+13,0,swapper,283473296,8,R,6,0,ed50c927278e4d745d2758f5131d4604
0,0,0,1,9455,9E+13,0,swapper,283473304,8,R,6,0,79b8750a4fee6c220bff34f304d47275
0,0,0,1,9456,9E+13,0,swapper,283473312,8,R,6,0,48a04391cc0d67797f90b259841f373c
0,1,0,1,9457,9E+13,2718,kjournald,437134048,8,W,6,0,dde285eb6f3b9b26ad4463a3f04360a6
0,1,0,1,9458,9E+13,2718,kjournald,437134056,8,W,6,0,f6562bca500f3072b623ee936f01c3e6
0,1,0,1,9459,9E+13,2718,kjournald,437134064,8,W,6,0,be1e212acdd194b7932a884919a60c10
0,1,0,1,9460,9E+13,2718,kjournald,437134072,8,W,6,0,13f6402939afcb0bbb5ddbc7be537e7c
0,1,0,1,9461,9E+13,2718,kjournald,437134080,8,W,6,0,a07b7df8770853ee29f61835adf3371b
0,1,0,1,9462,9E+13,2718,kjournald,437134088,8,W,6,0,89e97ac625e4cc5dddfefd932e3ac2ca
0,0,0,1,9463,9E+13,0,swapper,283473320,8,R,6,0,0a87c52aee7e2389138961ffe4c6c744
0,0,0,1,9464,9E+13,0,swapper,283473328,8,R,6,0,2d57cb6cd4b2e17feaedc1f39770b7a8
0,0,0,1,9465,9E+13,0,swapper,283473336,8,R,6,0,5dd060e4886e782dcfdbe91ffd501282
0,0,0,1,9466,9E+13,0,swapper,283473344,8,R,6,0,c0938d46ad5bff80bc0fbd31ab767ac5
0,0,0,1,9467,9E+13,0,swapper,283473352,8,R,6,0,450116f0f97bfd4fad578ef9e01dfff3
0,0,0,1,9468,9E+13,0,swapper,283473360,8,R,6,0,9b9a2078937751b53e75fa15cd85f4ca
0,0,0,1,9469,9E+13,0,swapper,283473368,8,R,6,0,2f53a0d4e1c753e089a0902cf74118cf
0,0,0,1,9470,9E+13,0,swapper,283473376,8,R,6,0,03e5c16870875e39140bd23f12c81a5b
